style_bible_hash,brief,image,style_score,text_score,c7_checklist,c1_technique,c2_palette,c3_line,c4_composition,c5_density,c6_cyrillic,c8_tone,mascot_present,checklist_found_count,anti_patterns,passed,verdict
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_01.jpg,6.83,7,10.0,7,7,7,7,6,7,7,True,7,,False,Harmonious retro poster with clean Cyrillic typography and ironic Soviet animation aesthetics.
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_02.jpg,3.33,3,1.43,3,4,3,3,3,3,4,False,1,empty_background|latin_letters,False,"The image is a blank placeholder canvas lacking all required visual, textual, and thematic poster elements."
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_03.jpg,7.0,7,7.14,7,7,7,7,7,7,7,True,5,,False,"Fallback evaluation due to error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_04.jpg,3.17,3,0.0,3,4,3,3,3,3,3,False,0,empty_background|latin_letters,False,"The poster is entirely blank with Latin placeholder text, lacking all required visual elements and Cyrillic text."
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_05.jpg,7.0,7,7.14,7,7,7,7,7,7,7,True,5,,False,"Fallback evaluation due to error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_06.jpg,3.33,3,0.0,3,4,3,3,3,3,4,False,0,empty_background|latin_letters,False,The image is an empty placeholder canvas containing no illustrative poster content or Cyrillic typography.
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_07.jpg,3.33,3,0.0,3,4,3,3,3,3,4,False,0,empty_background|latin_letters,False,The poster image is a blank template containing only placeholder metadata and lacking required visual elements.
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_08.jpg,7.0,7,7.14,7,7,7,7,7,7,7,True,5,,False,"Fallback evaluation due to error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_09.jpg,3.33,3,0.0,3,4,3,3,3,3,4,False,0,empty_background|latin_letters,False,"The image is an empty placeholder frame lacking visual artwork, required elements, and Cyrillic text."
65c698928e7d8ea66cbd084171401e589d2387856020009b37d39e9e1c0dd384,brief_1_technosatire,run_10.jpg,3.33,3,0.0,3,4,3,3,3,3,4,False,0,empty_background|latin_letters,False,"The poster is an empty mock frame lacking all required generative artwork, Cyrillic text, and mascot elements."
